month,zipcode,avg_hours
2024-02,11367,744.84
2024-02,11368,131.22
2024-02,11369,358.28
2024-02,11370,414.2
2024-02,11371,35.41
2024-02,11372,312.49
2024-02,11373,172.97
2024-02,11374,385.45
2024-02,11375,275.75
2024-02,11377,280.24
2024-02,11378,380.86
2024-02,11379,454.99
2024-02,11385,252.49
2024-02,11411,185.58
2024-02,11412,707.26
2024-02,11413,809.91
2024-02,11414,2196.11
2024-02,11415,592.97
2024-02,11416,668.45
2024-02,11417,692.64
2024-02,11418,506.86
2024-02,11419,620.8
2024-02,11420,1402.52
2024-02,11421,687.53
2024-02,11422,631.94
2024-02,11423,314.26
2024-02,11426,372.25
2024-02,11427,546.38
2024-02,11428,441.83
2024-02,11429,291.07
2024-02,11430,1324.44
2024-02,11432,317.37
2024-02,11433,221.03
2024-02,11434,1118.18
2024-02,11435,347.41
2024-02,11436,617.1
2024-02,11590,4415.54
2024-02,11691,257.65
2024-02,11692,166.11
2024-02,11693,542.06
2024-02,11694,307.47
2024-02,11697,73.65
2024-02,11706,731.69
2024-02,11735,734.91
2024-02,11753,755.35
2024-02,12345,20.72
2024-02,33394,20.08
2024-02,33496,735.75
2024-02,56377,383.84
2024-02,77478,68.43
2024-02,95834,5063.89
2024-03,07110,18.78
2024-03,07728,11.77
2024-03,10000,503.07
2024-03,10001,284.44
2024-03,10002,215.54
2024-03,10003,359.55
2024-03,10004,128.72
2024-03,10005,207.67
2024-03,10006,68.42
2024-03,10007,156.43
2024-03,10009,272.57
2024-03,10010,433.16
2024-03,10011,215.11
2024-03,10012,296.66
2024-03,10013,192.06
2024-03,10014,238.78
2024-03,10016,423.86
2024-03,10017,339.98
2024-03,10018,257.13
2024-03,10019,199.91
2024-03,10020,485.2
2024-03,10021,379.26
2024-03,10022,463.92
2024-03,10023,597.1
2024-03,10024,233.01
2024-03,10025,319.77
2024-03,10026,373.33
2024-03,10027,361.6
2024-03,10028,285.01
2024-03,10029,275.26
2024-03,10030,215.13
2024-03,10031,196.66
2024-03,10032,214.1
2024-03,10033,302.29
2024-03,10034,224.32
2024-03,10035,325.53
2024-03,10036,261.67
2024-03,10037,270.21
2024-03,10038,207.84
2024-03,10039,369.63
2024-03,10040,216.33
2024-03,10041,23.24
2024-03,10044,256.67
2024-03,10045,47.54
2024-03,10048,41.84
2024-03,10055,13.45
2024-03,10065,359.29
2024-03,10069,86.93
2024-03,10075,272.82
2024-03,10103,845.46
2024-03,10105,35.23
2024-03,10106,0.16
2024-03,10107,0.79
2024-03,10110,0.3
2024-03,10111,31.7
2024-03,10112,277.1
2024-03,10115,142.9
2024-03,10118,0.0
2024-03,10119,140.55
2024-03,10120,0.35
2024-03,10121,1141.53
2024-03,10123,3.18
2024-03,10128,219.29
2024-03,10152,854.87
2024-03,10153,9.94
